fight_id,event_id,event_name,event_date,event_location,weight_class,title_fight,winner_id,result_status,method,finish_round,finish_time,time_format,referee,details,bonuses,r_fighter_id,r_fighter_name,r_fighter_nick_name,r_height,r_weight_lbs,r_reach_inches,r_stance,r_dob,r_slpm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_acc,r_td_def,r_sub_avg,b_fighter_id,b_fighter_name,b_fighter_nick_name,b_height,b_weight_lbs,b_reach_inches,b_stance,b_dob,b_slpm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_acc,b_td_def,b_sub_avg,r_total_kd,b_total_kd,r_total_sig_landed,r_total_sig_atmp,b_total_sig_landed,b_total_sig_atmp,r_total_total_str_landed,r_total_total_str_atmp,b_total_total_str_landed,b_total_total_str_atmp,r_total_td_success,r_total_td_atmp,b_total_td_success,b_total_td_atmp,r_total_sub_att,b_total_sub_att,r_total_rev,b_total_rev,r_total_sig_str_landed_head,r_total_sig_str_atmp_head,b_total_sig_str_landed_head,b_total_sig_str_atmp_head,r_total_sig_str_landed_body,r_total_sig_str_atmp_body,b_total_sig_str_landed_body,b_total_sig_str_atmp_body,r_total_sig_str_landed_leg,r_total_sig_str_atmp_leg,b_total_sig_str_landed_leg,b_total_sig_str_atmp_leg,r_total_sig_str_landed_distance,r_total_sig_str_atmp_distance,b_total_sig_str_landed_distance,b_total_sig_str_atmp_distance,r_total_sig_str_landed_clinch,r_total_sig_str_atmp_clinch,b_total_sig_str_landed_clinch,b_total_sig_str_atmp_clinch,r_total_sig_str_landed_ground,r_total_sig_str_atmp_ground,b_total_sig_str_landed_ground,b_total_sig_str_atmp_ground,r_total_ctrl_seconds,b_total_ctrl_seconds,rounds_fought
f3a970c83d8de1db,073eee4e62f0d988,UFC Fight Night: McGregor vs Brandao,2014-07-19,"Dublin, Leinster, Ireland",Middleweight,0,99c7610aa74995d3,win,Submission,2,3:33,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Fight of the Night,99c7610aa74995d3,Cathal Pendred,The Punisher,"6' 1""",170,75,Orthodox,1987-09-02,2.49,44,3.01,55,2.46,23,83,0.4,564c2f5f9eb45d67,Mike King,,"6' 3""",185,,,1983-08-04,4.44,58,1.29,72,1.75,25,40,3.5,0,1,11,40,38,65,16,46,60,103,3,5,1,4,1,2,0,0,7,33,33,59,3,5,3,4,1,2,2,2,9,37,17,36,1,2,5,5,1,1,16,24,122,141,2
3427667c1a265fe5,f9f07bb5a43535ed,UFC Fight Night: Bisping vs Kennedy,2014-04-16,"Quebec City, Quebec, Canada",Bantamweight,0,3c0437fbeda06962,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Philippe Chartier,Richard Bertrand 28 - 29. Benoit Roussel 27 - 30. David Therien 28 - 29.,,3c0437fbeda06962,George Roop,,"6' 1""",135,72,Orthodox,1981-11-10,3.43,34,2.47,60,1.05,57,59,0.1,fe91d254db77a7fc,Dustin Kimura,The Diamond,"5' 7""",135,71,Orthodox,1989-05-21,1.33,21,3.82,51,0.93,37,50,2.2,0,0,53,109,7,31,74,135,19,45,2,2,3,6,0,0,0,0,43,95,3,25,9,12,4,6,1,2,0,0,15,51,2,22,3,10,3,5,35,48,2,4,485,143,3
07c3c0b48449c89b,ba280572acfba13f,Road to UFC 2.5 + 2.6,2023-08-27,,Lightweight,0,a13d755965a4ec9f,win,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Thomas Fan,Mark Collett 28 - 29. David Lethaby 28 - 29. Vito Paolillo 26 - 30.,,a13d755965a4ec9f,Rongzhu,,"5' 9""",155,70,Orthodox,2000-03-07,6.05,51,5.38,53,1.34,62,84,0.1,a264d4e9a4d6bfe4,Sangwook Kim,Frogman,"6' 0""",155,71,Orthodox,1993-10-17,5.11,55,5.82,44,1.77,22,72,1.2,1,0,132,248,94,181,142,258,105,196,0,0,2,10,0,0,0,0,82,191,55,127,33,39,15,23,17,18,24,31,123,231,82,169,4,8,12,12,5,9,0,0,4,149,3
4b5afef9b457fb2f,d9e3743bae8d703d,Road to UFC 4.5 + 4.6,2025-08-22,,Lightweight,0,a264d4e9a4d6bfe4,win,Submission,2,3:42,3 Rnd + OT (5-5-5-5),Marc Goddard,Rear Naked Choke,,b2d9758cdd124143,Ren Yawei,,"5' 9""",155,69,Orthodox,1998-02-07,4.67,64,5.32,36,0.0,0,66,1.4,a264d4e9a4d6bfe4,Sangwook Kim,Frogman,"6' 0""",155,71,Orthodox,1993-10-17,5.11,55,5.82,44,1.77,22,72,1.2,0,0,37,56,50,72,40,60,82,106,0,0,3,5,0,3,0,0,6,19,44,65,21,27,6,7,10,10,0,0,33,52,34,56,4,4,10,10,0,0,6,6,0,209,2
7f0896f35d3ac151,23459ee7e373b98f,Road to UFC 2.1 + 2.2,2023-05-27,,Featherweight,0,e9712cad24948ce1,win,KO/TKO,2,1:42,3 Rnd + OT (5-5-5-5),Mark Craig,Punch to Head At Distance,,b7bcf6dfbbb7c16c,Keisuke Sasu,Sasuke,"5' 5""",145,69,Switch,1994-09-30,2.76,49,2.42,48,3.76,40,61,1.9,e9712cad24948ce1,SangWon Kim,No Problem,"5' 9""",145,69,Orthodox,1993-09-01,3.18,57,3.73,58,0.69,25,72,0.0,0,1,19,39,26,37,21,42,27,38,3,5,0,0,0,0,0,1,9,21,15,25,3,4,1,2,7,14,10,10,18,37,20,30,1,2,1,1,0,0,5,6,143,4,2
54248bb11f17c770,eb29176b03dfa888,K-1 Hero's 6,2006-08-05,,Light Heavyweight,0,b0550072e5f0afa7,win,Submission,1,2:01,3 Rnd (10-5-5),Kenichi Serizawa,"Armbar From Mount
      Technical Submission",,b0550072e5f0afa7,Yoshihiro Akiyama,,"5' 10""",170,75,Orthodox,1975-07-29,3.1,41,3.62,57,2.29,67,92,1.0,c7ac79839e86ce33,Taiei Kin,,"5' 11""",185,,Orthodox,1970-07-08,2.71,60,1.33,52,0.0,0,55,0.0,0,0,3,3,5,8,5,5,5,8,1,2,0,0,1,0,0,0,3,3,1,3,0,0,4,5,0,0,0,0,1,1,1,2,1,1,4,6,1,1,0,0,0,0,1
5a9ecff594dc6bb9,7c0847d3854a95f2,UFC 104: Machida vs Shogun,2009-10-24,"Los Angeles, California, USA",Middleweight,0,cb46dface0e28a2c,win,KO/TKO,3,1:53,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Guard,,cb46dface0e28a2c,Jorge Rivera,El Conquistador,"6' 1""",185,73,Orthodox,1972-02-28,3.16,48,2.64,54,0.84,50,63,0.1,054defd5420a551f,Rob Kimmons,The Rosedale Reaper,"5' 10""",185,73,Orthodox,1981-01-30,1.86,48,4.79,38,2.08,46,25,2.4,1,0,66,136,23,54,135,224,88,120,0,0,1,3,0,0,0,0,53,122,13,43,13,14,8,9,0,0,2,2,15,43,5,20,23,39,17,30,28,54,1,4,439,180,3
de2513c984996c8c,a54fc2d6fc224dc3,UFC Live: Sanchez vs Kampmann,2011-03-03,"Louisville, Kentucky, USA",Middleweight,0,aed06011bf62237b,win,KO/TKO,2,4:47,3 Rnd (5-5-5),Gary Copeland,Punches to Head From Back Control,,054defd5420a551f,Rob Kimmons,The Rosedale Reaper,"5' 10""",185,73,Orthodox,1981-01-30,1.86,48,4.79,38,2.08,46,25,2.4,aed06011bf62237b,Dongi Yang,The Ox,"5' 10""",185,73,Southpaw,1984-12-07,3.55,51,3.21,63,1.7,41,61,0.5,0,1,1,15,57,71,19,33,145,181,1,1,1,1,0,2,0,1,1,15,46,60,0,0,9,9,0,0,2,2,1,12,8,14,0,2,0,0,0,1,49,57,20,491,2
eb82e95ab678f8bc,e5c9de15bb58b1c6,UFC Fight Night: Saffiedine vs Lim,2014-01-04,"Singapore, Singapore",Bantamweight,0,fe91d254db77a7fc,win,Submission,1,2:13,3 Rnd (5-5-5),Steve Perceval,Armbar From Bottom Guard,,fe91d254db77a7fc,Dustin Kimura,The Diamond,"5' 7""",135,71,Orthodox,1989-05-21,1.33,21,3.82,51,0.93,37,50,2.2,0d0351c20169a499,Jon Delos Reyes,The Heat,"5' 6""",125,67,Orthodox,1987-08-19,2.99,38,4.14,51,3.2,83,55,1.9,0,1,1,9,9,29,1,9,10,32,0,1,1,1,1,0,0,0,1,8,9,28,0,0,0,0,0,1,0,1,1,9,4,11,0,0,2,4,0,0,3,14,0,94,1
0700b74037329215,2299605af59fd309,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,2008-06-21,"Las Vegas, Nevada, USA",Middleweight,0,054defd5420a551f,win,Submission,1,3:58,3 Rnd (5-5-5),Herb Dean,Guillotine Choke After Drop to Guard,,054defd5420a551f,Rob Kimmons,The Rosedale Reaper,"5' 10""",185,73,Orthodox,1981-01-30,1.86,48,4.79,38,2.08,46,25,2.4,42078a86d3dd037b,Rob Yundt,Monster,"6' 1""",185,,Orthodox,1980-05-05,1.37,41,2.55,31,2.94,100,0,0.0,0,0,9,13,5,6,25,29,45,46,1,1,1,1,4,0,0,0,9,13,0,1,0,0,5,5,0,0,0,0,1,2,1,1,0,0,0,0,8,11,4,5,92,131,1
