fight_id,round_no,r_id,b_id,r_kd,b_kd,r_sig_landed,r_sig_atmp,b_sig_landed,b_sig_atmp,r_total_str_landed,r_total_str_atmp,b_total_str_landed,b_total_str_atmp,r_td_success,r_td_atmp,b_td_success,b_td_atmp,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_str_landed_head,r_sig_str_atmp_head,b_sig_str_landed_head,b_sig_str_atmp_head,r_sig_str_landed_body,r_sig_str_atmp_body,b_sig_str_landed_body,b_sig_str_atmp_body,r_sig_str_landed_leg,r_sig_str_atmp_leg,b_sig_str_landed_leg,b_sig_str_atmp_leg,r_sig_str_landed_distance,r_sig_str_atmp_distance,b_sig_str_landed_distance,b_sig_str_atmp_distance,r_sig_str_landed_clinch,r_sig_str_atmp_clinch,b_sig_str_landed_clinch,b_sig_str_atmp_clinch,r_sig_str_landed_ground,r_sig_str_atmp_ground,b_sig_str_landed_ground,b_sig_str_atmp_ground
c32b24a24d946893,1,579fcdfcabd23a7b,b9415726dc3ec526,0,0,11,21,6,18,15,25,19,33,0,0,5,6,0,0,0,0,0:18,2:33,4,12,4,14,2,4,2,4,5,5,0,0,5,13,3,11,6,8,1,4,0,0,2,3
c32b24a24d946893,2,579fcdfcabd23a7b,b9415726dc3ec526,0,0,7,13,0,2,46,54,4,7,0,0,1,3,0,2,0,0,3:20,0:48,5,11,0,2,1,1,0,0,1,1,0,0,0,1,0,2,1,1,0,0,6,11,0,0
c32b24a24d946893,3,579fcdfcabd23a7b,b9415726dc3ec526,0,0,18,33,9,15,39,55,13,22,0,1,1,6,0,0,0,0,1:03,2:39,6,19,5,11,3,5,4,4,9,9,0,0,6,16,3,6,12,17,4,7,0,0,2,2
2b6c2cdccb2cc659,1,9b198c73e3d0d289,1ad381c8994c4e5b,1,0,20,26,4,14,22,28,5,15,0,6,0,0,0,0,0,0,0:42,0:00,10,16,2,11,6,6,2,3,4,4,0,0,7,12,1,11,7,8,3,3,6,6,0,0
48b1ee7ab45add4c,1,95aff2fd8d09a5f0,6add18754930182b,1,0,6,8,0,1,6,8,0,1,0,0,0,0,0,0,0,0,0:03,0:00,6,8,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,7,0,0
1117f90ee81e0bbf,1,b4c96c3d9139bf0e,87f3bbf52e6c9dc9,0,0,5,11,6,11,41,47,9,14,1,1,0,0,2,1,0,0,4:11,0:00,5,11,3,8,0,0,0,0,0,0,3,3,1,4,6,11,0,0,0,0,4,7,0,0
0fea1cff62e26b46,1,efb9a43415a56d34,7b310409440c9102,0,0,16,38,5,15,22,44,7,20,0,0,1,1,0,2,1,0,1:29,1:12,7,21,1,8,2,6,0,2,7,11,4,5,12,32,5,15,0,0,0,0,4,6,0,0
1117f90ee81e0bbf,2,b4c96c3d9139bf0e,87f3bbf52e6c9dc9,0,0,2,4,4,13,27,30,17,27,2,4,0,1,1,0,0,0,3:05,1:01,2,4,4,12,0,0,0,0,0,0,0,1,1,3,3,10,1,1,1,3,0,0,0,0
0fea1cff62e26b46,2,efb9a43415a56d34,7b310409440c9102,0,0,6,20,2,3,22,48,7,9,0,0,3,6,0,0,1,0,2:17,1:50,5,16,1,2,1,2,0,0,0,2,1,1,0,6,0,1,6,11,1,1,0,3,1,1
1117f90ee81e0bbf,3,b4c96c3d9139bf0e,87f3bbf52e6c9dc9,0,0,4,9,14,27,42,50,26,39,2,2,0,0,0,1,0,0,3:47,0:03,4,9,13,26,0,0,1,1,0,0,0,0,2,5,8,19,0,0,5,7,2,4,1,1
